"session_id","user_id","movie_id","watch_date","device_type","watch_duration_minutes","progress_percentage","action","quality","location_country","is_download","user_rating","duration_category"
"session_000027","user_02748","movie_0778",2025-01-22,"Desktop",57.9,6.1,"stopped","HD","USA",FALSE,5,"31-60 minutes"
"session_000028","user_09168","movie_0709",2025-01-19,"Laptop",65.2,42.6,"stopped","4K","USA",FALSE,NA,"1-2 hours"
"session_000029","user_09999","movie_0990",2024-11-22,"Mobile",33.1,72.2,"started","4K","USA",FALSE,NA,"31-60 minutes"
"session_000030","user_00190","movie_0114",2024-07-08,"Smart TV",48.1,12.8,"stopped","HD","USA",TRUE,NA,"31-60 minutes"
"session_000031","user_02735","movie_0494",2024-04-03,"Smart TV",71.1,42.6,"started","SD","USA",FALSE,3,"1-2 hours"
"session_000032","user_03006","movie_0004",2024-11-01,"Smart TV",70.6,77.4,"completed","SD","USA",FALSE,NA,"1-2 hours"
"session_000033","user_04659","movie_0711",2025-03-30,"Mobile",34.4,64.3,"completed","4K","USA",FALSE,3,"31-60 minutes"
"session_000034","user_01900","movie_0758",2025-06-15,"Smart TV",38.9,78.2,"completed","HD","Canada",FALSE,NA,"31-60 minutes"
"session_000035","user_07735","movie_0639",2024-09-28,"Smart TV",34.7,85.7,"stopped","HD","USA",FALSE,NA,"31-60 minutes"
"session_000036","user_01268","movie_0627",2024-11-04,"Desktop",38.3,41.7,"completed","SD","USA",FALSE,NA,"31-60 minutes"
"session_000037","user_01529","movie_0445",2024-07-04,"Laptop",75.5,60.9,"paused","SD","Canada",FALSE,1,"1-2 hours"
"session_000038","user_03557","movie_0468",2024-07-11,"Desktop",44.2,6.9,"stopped","4K","USA",FALSE,NA,"31-60 minutes"
"session_000039","user_03891","movie_0860",2024-04-23,"Mobile",97.6,22.6,"started","HD","Canada",FALSE,NA,"1-2 hours"
"session_000040","user_08839","movie_0647",2025-03-21,"Mobile",13.3,46.5,"started","HD","USA",FALSE,5,"6-30 minutes"
"session_000041","user_05394","movie_0971",2024-05-24,"Tablet",38.8,95.3,"stopped","SD","USA",FALSE,2,"31-60 minutes"
"session_000042","user_08793","movie_0177",2025-07-01,"Desktop",83.9,85.8,"completed","4K","Canada",FALSE,NA,"1-2 hours"
"session_000043","user_08434","movie_0701",2025-07-14,"Laptop",19,89.9,"completed","4K","Canada",TRUE,NA,"6-30 minutes"
"session_000044","user_07514","movie_0142",2025-07-31,"Tablet",31.2,73.5,"completed","HD","USA",FALSE,NA,"31-60 minutes"
"session_000045","user_02613","movie_0712",2024-07-05,"Desktop",95.2,46,"completed","HD","USA",FALSE,NA,"1-2 hours"
"session_000046","user_07042","movie_0664",2025-01-05,"Smart TV",32.1,34.4,"started","SD","USA",FALSE,NA,"31-60 minutes"
"session_000047","user_09556","movie_0563",2025-11-11,"Mobile",28.8,4.7,"completed","HD","USA",FALSE,NA,"6-30 minutes"
"session_000048","user_06236","movie_0502",2025-11-29,"Laptop",167.5,64.5,"paused","HD","USA",FALSE,3,"2-4 hours"
"session_000049","user_05487","movie_0031",2024-12-02,"Laptop",67.6,90.2,"paused","HD","Canada",FALSE,NA,"1-2 hours"
"session_000050","user_07100","movie_0763",2025-06-16,"Smart TV",142.5,60.9,"paused","4K","Canada",FALSE,1,"2-4 hours"
"session_000051","user_09671","movie_0130",2024-11-19,"Mobile",107.1,48.7,"paused","HD","USA",TRUE,NA,"1-2 hours"
"session_000052","user_00776","movie_0968",2024-04-26,"Mobile",158.6,1.3,"completed","4K","USA",FALSE,NA,"2-4 hours"
"session_000053","user_08227","movie_0091",2024-11-10,"Tablet",50.8,45.3,"stopped","HD","USA",FALSE,4,"31-60 minutes"
"session_000054","user_03153","movie_0171",2025-05-05,"Tablet",65.8,73.3,"paused","4K","Canada",FALSE,2,"1-2 hours"
"session_000055","user_01586","movie_0253",2025-10-27,"Laptop",25,34.5,"paused","SD","USA",FALSE,3,"6-30 minutes"
"session_000056","user_03944","movie_0088",2025-07-25,"Tablet",74.8,50.2,"started","HD","Canada",TRUE,4,"1-2 hours"
"session_000057","user_07556","movie_0691",2025-05-07,"Laptop",94.3,34.7,"completed","4K","USA",FALSE,5,"1-2 hours"
"session_000058","user_03074","movie_0454",2024-07-07,"Mobile",167.5,49.6,"completed","HD","Canada",TRUE,4,"2-4 hours"
"session_000059","user_01022","movie_0779",2025-06-21,"Tablet",10.3,20.5,"paused","HD","USA",FALSE,NA,"6-30 minutes"
"session_000060","user_03844","movie_0689",2025-05-12,"Laptop",34.8,13.9,"started","HD","Canada",TRUE,NA,"31-60 minutes"
"session_000061","user_07990","movie_0528",2024-02-10,"Smart TV",114,91,"paused",NA,"USA",FALSE,NA,"1-2 hours"
"session_000062","user_09693","movie_0116",2025-02-14,"Desktop",25.3,76.4,"started","SD","USA",FALSE,NA,"6-30 minutes"
"session_000063","user_06874","movie_0733",2025-04-05,"Desktop",45.7,77.1,"stopped","HD","USA",FALSE,NA,"31-60 minutes"
"session_000064","user_05676","movie_0169",2025-07-13,"Desktop",113.8,43.2,"paused","4K","USA",FALSE,2,"1-2 hours"
"session_000065","user_00162","movie_0926",2025-03-10,"Desktop",151.7,61.2,"stopped","HD","USA",FALSE,3,"2-4 hours"
"session_000066","user_04298","movie_0429",2025-11-27,"Laptop",98.2,77.3,"paused","HD","USA",FALSE,NA,"1-2 hours"
"session_000067","user_00996","movie_0711",2025-07-02,"Tablet",67.3,74.7,"paused","SD","USA",TRUE,NA,"1-2 hours"
"session_000068","user_07630","movie_0528",2024-08-04,"Mobile",60.3,61.4,"paused","4K","Canada",FALSE,NA,"1-2 hours"
"session_000069","user_09468","movie_0228",2025-10-11,"Laptop",18.4,69.9,"started","4K","USA",FALSE,NA,"6-30 minutes"
"session_000070","user_01017","movie_0415",2025-11-02,"Tablet",62.3,1.2,"started","SD","USA",TRUE,NA,"1-2 hours"
"session_000071","user_07870","movie_0011",2025-02-02,"Mobile",42.2,81.9,"completed","HD","Canada",FALSE,NA,"31-60 minutes"
"session_000072","user_06440","movie_0211",2024-12-30,"Desktop",15.2,73.7,"started","SD","USA",FALSE,NA,"6-30 minutes"
"session_000073","user_07893","movie_0334",2025-06-24,"Mobile",8.7,88,"started","4K","Canada",FALSE,NA,"6-30 minutes"
"session_000074","user_06864","movie_0762",2025-03-22,"Tablet",31.4,49.7,"started","4K","USA",TRUE,NA,"31-60 minutes"
"session_000075","user_07917","movie_0463",2025-04-18,"Laptop",172.3,2.6,"stopped","HD","USA",TRUE,NA,"2-4 hours"
"session_000076","user_08530","movie_0520",2025-09-02,"Smart TV",82.1,76.9,"paused","HD","Canada",TRUE,NA,"1-2 hours"
"session_000077","user_00879","movie_0780",2025-08-16,"Laptop",146.2,17.4,"stopped","4K","USA",FALSE,NA,"2-4 hours"
"session_000078","user_09269","movie_0856",2025-06-21,"Smart TV",107.6,18.2,"paused","4K","Canada",FALSE,NA,"1-2 hours"
"session_000079","user_04888","movie_0061",2024-04-07,"Tablet",89,58.1,"started","4K","Canada",FALSE,NA,"1-2 hours"
"session_000080","user_04860","movie_0934",2025-12-06,"Desktop",3,32.3,"completed","HD","USA",FALSE,NA,"1-5 minutes"
"session_000081","user_06332","movie_0695",2025-12-02,"Tablet",45.2,64,"started","HD","Canada",FALSE,NA,"31-60 minutes"
"session_000082","user_08572","movie_0653",2024-02-18,"Tablet",44.4,35.6,"completed","HD","USA",FALSE,NA,"31-60 minutes"
"session_000083","user_08685","movie_0466",2024-03-30,"Smart TV",12.3,80.1,"stopped","4K","USA",FALSE,4,"6-30 minutes"
"session_000084","user_07209","movie_0163",2024-07-10,"Desktop",64.7,55,"stopped","HD","USA",FALSE,NA,"1-2 hours"
"session_000085","user_05277","movie_0733",2024-02-24,"Smart TV",108.1,41.9,"stopped","4K","Canada",FALSE,4,"1-2 hours"
"session_000086","user_02063","movie_0318",2024-02-03,"Mobile",20.9,30.1,"stopped",NA,"USA",TRUE,NA,"6-30 minutes"
"session_000087","user_00065","movie_0020",2024-09-11,"Laptop",10.6,30.1,"stopped","HD","USA",FALSE,NA,"6-30 minutes"
"session_000088","user_08007","movie_0566",2024-02-25,"Tablet",7,67.6,"stopped","HD","USA",FALSE,NA,"6-30 minutes"
"session_000089","user_02569","movie_0866",2025-04-29,"Smart TV",17.6,11.4,"paused","HD","Canada",FALSE,NA,"6-30 minutes"
"session_000090","user_05464","movie_0067",2025-02-09,"Mobile",39,20.3,"stopped","HD","Canada",FALSE,4,"31-60 minutes"
"session_000091","user_02028","movie_0382",2024-08-17,"Tablet",19.3,78.5,"paused","4K","USA",FALSE,NA,"6-30 minutes"
"session_000092","user_02696","movie_0703",2024-01-24,"Smart TV",18.1,78.6,"completed","HD","Canada",FALSE,NA,"6-30 minutes"
"session_000093","user_09688","movie_0872",2025-05-05,"Desktop",52.1,52.5,"started","SD","USA",FALSE,NA,"31-60 minutes"
"session_000094","user_05259","movie_0995",2024-05-11,"Mobile",32.9,47.6,"stopped","HD","USA",FALSE,4,"31-60 minutes"
"session_000095","user_05619","movie_0863",2024-12-18,"Laptop",47.7,41.6,"started","HD","USA",FALSE,NA,"31-60 minutes"
"session_000096","user_06737","movie_0632",2024-12-17,"Laptop",73.2,47.9,"paused","SD","USA",FALSE,NA,"1-2 hours"
"session_000097","user_00392","movie_0583",2024-05-23,"Smart TV",24.4,93.7,"completed","SD","USA",FALSE,NA,"6-30 minutes"
"session_000098","user_05893","movie_0777",2025-06-21,"Smart TV",80.7,36.6,"stopped","HD","USA",FALSE,NA,"1-2 hours"
"session_000099","user_03562","movie_0630",2025-12-02,"Desktop",88.5,12.9,"stopped","HD","Canada",FALSE,NA,"1-2 hours"
"session_000100","user_06185","movie_0701",2024-06-08,"Laptop",154.5,33,"completed","SD","Canada",FALSE,3,"2-4 hours"
"session_000101","user_03100","movie_0306",2025-01-30,"Mobile",114.2,41.8,"started",NA,"USA",FALSE,NA,"1-2 hours"
"session_000102","user_06279","movie_0187",2024-07-05,"Laptop",128.7,70.4,"paused","HD","Canada",TRUE,NA,"2-4 hours"
"session_000103","user_08393","movie_0176",2024-05-26,"Mobile",2.5,64.3,"started","SD","USA",FALSE,NA,"1-5 minutes"
"session_000104","user_03105","movie_0529",2025-07-13,"Smart TV",63.8,74.7,"started","4K","USA",FALSE,5,"1-2 hours"
"session_000105","user_07216","movie_0820",2024-05-25,"Tablet",78.1,21.4,"paused","HD","USA",FALSE,NA,"1-2 hours"
"session_000106","user_02455","movie_0199",2025-09-23,"Smart TV",40.7,46.2,"completed","4K","USA",FALSE,5,"31-60 minutes"
"session_000107","user_08997","movie_0051",2025-02-21,"Desktop",21.3,65.3,"paused","4K","USA",TRUE,NA,"6-30 minutes"
"session_000108","user_02732","movie_0581",2024-12-30,"Tablet",8.1,29.6,"started","HD","USA",FALSE,NA,"6-30 minutes"
"session_000109","user_08155","movie_0600",2024-07-03,"Tablet",20.8,15.1,"paused","HD","USA",FALSE,NA,"6-30 minutes"
"session_000110","user_09763","movie_0719",2025-12-02,"Desktop",25.2,56.8,"paused","HD","USA",FALSE,NA,"6-30 minutes"
"session_000111","user_05057","movie_0450",2025-11-26,"Mobile",49.8,9.5,"paused","HD","USA",FALSE,NA,"31-60 minutes"
"session_000112","user_08111","movie_0697",2025-08-06,"Mobile",18.3,96.8,"completed","HD","USA",FALSE,NA,"6-30 minutes"
"session_000113","user_03841","movie_0911",2025-09-04,"Mobile",105.3,13.3,"paused","SD","USA",FALSE,NA,"1-2 hours"
"session_000114","user_01029","movie_0085",2024-06-01,"Smart TV",48.7,36.7,"stopped","HD","USA",FALSE,NA,"31-60 minutes"
"session_000115","user_07386","movie_0613",2025-11-16,"Desktop",16.1,54.9,"stopped","4K","Canada",FALSE,NA,"6-30 minutes"
"session_000116","user_00503","movie_0334",2024-08-29,"Mobile",35.5,21.4,"paused","HD","USA",TRUE,NA,"31-60 minutes"
"session_000117","user_06911","movie_0883",2025-12-08,"Laptop",44.3,94.1,"stopped","4K","USA",FALSE,5,"31-60 minutes"
"session_000118","user_09063","movie_0642",2024-08-22,"Mobile",72.2,96.3,"completed","4K","Canada",FALSE,5,"1-2 hours"
"session_000119","user_06939","movie_0217",2024-11-14,"Mobile",37.5,71.3,"paused","4K","USA",FALSE,NA,"31-60 minutes"
"session_000120","user_04489","movie_0795",2025-01-29,"Desktop",10.5,43.8,"paused","HD","USA",TRUE,NA,"6-30 minutes"
"session_000121","user_00207","movie_0052",2025-11-19,"Desktop",37.3,77.6,"stopped","4K","USA",FALSE,NA,"31-60 minutes"
"session_000122","user_05135","movie_0629",2024-05-28,"Mobile",9.1,5.6,"paused","HD","USA",FALSE,NA,"6-30 minutes"
"session_000123","user_05978","movie_0563",2024-11-02,"Tablet",12.7,48.1,"paused",NA,"Canada",FALSE,NA,"6-30 minutes"
"session_000124","user_07722","movie_0678",2024-11-09,"Smart TV",22.4,38.1,"started","4K","Canada",FALSE,NA,"6-30 minutes"
"session_000125","user_07036","movie_0885",2024-05-21,"Mobile",35.6,96.3,"stopped","HD","USA",FALSE,NA,"31-60 minutes"
"session_000126","user_01485","movie_0019",2024-05-20,"Laptop",137.1,59.3,"completed",NA,"USA",FALSE,NA,"2-4 hours"
"session_000127","user_07859","movie_0618",2024-10-16,"Tablet",41.5,83.2,"completed","SD","USA",TRUE,NA,"31-60 minutes"
"session_000128","user_00864","movie_0158",2024-04-06,"Mobile",41.7,96.7,"started","4K","USA",TRUE,3,"31-60 minutes"
"session_000129","user_02791","movie_0497",2024-10-26,"Laptop",23.5,64.5,"stopped","4K","USA",FALSE,NA,"6-30 minutes"
"session_000130","user_07409","movie_0074",2024-11-23,"Smart TV",70.6,79.1,"stopped",NA,"USA",FALSE,NA,"1-2 hours"
"session_000131","user_08756","movie_0991",2024-12-11,"Mobile",49.7,75.4,"paused","HD","USA",TRUE,5,"31-60 minutes"
"session_000132","user_05117","movie_0845",2024-03-09,"Tablet",34.7,38.5,"completed","HD","USA",FALSE,4,"31-60 minutes"
"session_000133","user_06020","movie_0653",2024-01-21,"Smart TV",57.9,63.9,"completed","HD","USA",FALSE,NA,"31-60 minutes"
"session_000134","user_01758","movie_0923",2025-12-20,"Desktop",37.3,83.9,"completed","HD","USA",FALSE,NA,"31-60 minutes"
"session_000135","user_07575","movie_0430",2024-01-18,"Smart TV",195.1,56.8,"paused","HD","USA",FALSE,4,"2-4 hours"
"session_000136","user_06375","movie_0275",2025-12-08,"Desktop",39.1,96,"started","4K","USA",FALSE,NA,"31-60 minutes"
"session_000137","user_06893","movie_0147",2025-07-26,"Mobile",58.4,21,"stopped","4K","USA",FALSE,NA,"31-60 minutes"
"session_000138","user_01679","movie_0485",2024-08-30,"Laptop",4.4,98.6,"stopped","HD","USA",FALSE,3,"1-5 minutes"
"session_000139","user_03243","movie_0425",2024-04-11,"Tablet",47.3,11.9,"stopped","4K","USA",FALSE,NA,"31-60 minutes"
"session_000140","user_04637","movie_0271",2025-04-18,"Laptop",18.3,37,"paused","HD","USA",TRUE,NA,"6-30 minutes"
"session_000141","user_01060","movie_0924",2024-10-15,"Mobile",10.8,39.2,"started","HD","USA",FALSE,NA,"6-30 minutes"
"session_000142","user_06669","movie_0620",2025-08-30,"Tablet",188.5,98.8,"stopped","HD","USA",FALSE,NA,"2-4 hours"
"session_000143","user_09915","movie_0356",2025-04-01,"Tablet",26.6,2.9,"stopped","HD","Canada",TRUE,NA,"6-30 minutes"
"session_000144","user_03158","movie_0796",2024-04-23,"Mobile",3.3,72,"paused","HD","Canada",TRUE,NA,"1-5 minutes"
"session_000145","user_05916","movie_0562",2024-09-23,"Mobile",29.6,53.5,"started","SD","USA",FALSE,NA,"6-30 minutes"
"session_000146","user_09790","movie_0801",2024-11-16,"Mobile",38.2,83.1,"paused","HD","USA",FALSE,NA,"31-60 minutes"
"session_000147","user_02694","movie_0812",2025-10-24,"Smart TV",30.6,17.9,"started","4K","USA",FALSE,NA,"31-60 minutes"
"session_000148","user_03628","movie_0055",2025-05-28,"Desktop",156,42.7,"paused","SD","USA",FALSE,NA,"2-4 hours"
"session_000149","user_09556","movie_0121",2024-06-04,"Desktop",15.7,19.2,"stopped","SD","USA",TRUE,4,"6-30 minutes"
"session_000150","user_05451","movie_0342",2025-08-24,"Tablet",48.6,48.3,"paused","HD","Canada",FALSE,3,"31-60 minutes"
"session_000151","user_01664","movie_0905",2024-11-14,"Tablet",4.6,73.3,"started","SD","Canada",TRUE,NA,"1-5 minutes"
"session_000152","user_09722","movie_0036",2025-01-13,"Laptop",41.2,17.3,"stopped","HD","USA",FALSE,NA,"31-60 minutes"
"session_000153","user_05593","movie_0198",2024-12-14,"Mobile",43.5,28.6,"stopped","HD","Canada",FALSE,NA,"31-60 minutes"
"session_000154","user_07393","movie_0642",2025-09-25,"Mobile",33.2,91.8,"started","HD","USA",FALSE,NA,"31-60 minutes"
"session_000155","user_01307","movie_0491",2025-07-17,"Mobile",51.5,30.1,"completed",NA,"USA",FALSE,NA,"31-60 minutes"
"session_000156","user_06777","movie_0171",2025-10-06,"Desktop",86.3,87.5,"completed","SD","USA",FALSE,NA,"1-2 hours"
"session_000157","user_05865","movie_0154",2025-12-10,"Desktop",138.6,47,"paused","SD","USA",FALSE,NA,"2-4 hours"
"session_000158","user_09475","movie_0581",2025-07-04,"Tablet",20,21.5,"paused","4K","USA",TRUE,NA,"6-30 minutes"
"session_000159","user_07527","movie_0279",2025-11-05,"Laptop",99.6,13.4,"completed","SD","USA",FALSE,NA,"1-2 hours"
"session_000160","user_08902","movie_0572",2024-11-03,"Tablet",43.7,9.7,"started","SD","Canada",FALSE,NA,"31-60 minutes"
"session_000161","user_05576","movie_0902",2025-10-15,"Tablet",175.2,30.5,"completed","4K","Canada",FALSE,NA,"2-4 hours"
"session_000162","user_05531","movie_0573",2024-03-22,"Mobile",14.9,85.6,"completed","HD","USA",FALSE,NA,"6-30 minutes"
"session_000163","user_04414","movie_0321",2025-09-13,"Desktop",69.6,67.4,"paused","HD","Canada",FALSE,3,"1-2 hours"
"session_000164","user_03749","movie_0355",2024-12-18,"Mobile",30.3,98.2,"started","4K","USA",FALSE,NA,"31-60 minutes"
"session_000165","user_00664","movie_0383",2025-03-18,"Desktop",82.4,89.4,"completed","HD","USA",FALSE,3,"1-2 hours"
"session_000166","user_01999","movie_0041",2025-06-09,"Tablet",71.6,61.1,"completed","4K","USA",TRUE,NA,"1-2 hours"
"session_000167","user_07995","movie_0353",2025-02-05,"Laptop",59.4,38.1,"paused","HD","Canada",FALSE,NA,"31-60 minutes"
"session_000168","user_01496","movie_0794",2024-02-09,"Tablet",98.5,48.2,"started",NA,"USA",FALSE,NA,"1-2 hours"
"session_000169","user_03305","movie_0985",2025-05-29,"Desktop",82.4,89.9,"stopped","SD","USA",FALSE,5,"1-2 hours"
"session_000170","user_03764","movie_0781",2024-11-02,"Tablet",17.6,68.6,"paused","HD","Canada",TRUE,NA,"6-30 minutes"
"session_000171","user_05233","movie_0081",2024-09-26,"Smart TV",59.3,50.1,"completed","HD","USA",FALSE,NA,"31-60 minutes"
"session_000172","user_01854","movie_0400",2025-07-25,"Smart TV",143.9,87.4,"started","HD","USA",FALSE,3,"2-4 hours"
"session_000173","user_06586","movie_0127",2024-05-31,"Mobile",7.8,1.3,"stopped","HD","USA",TRUE,NA,"6-30 minutes"
"session_000174","user_01292","movie_0300",2025-03-24,"Desktop",121.1,88,"stopped","4K","USA",FALSE,NA,"2-4 hours"
"session_000175","user_03582","movie_0158",2025-01-08,"Desktop",63,50.3,"completed","HD","USA",FALSE,5,"1-2 hours"
"session_000176","user_07555","movie_0130",2024-12-15,"Mobile",73,78.3,"stopped","HD","USA",FALSE,NA,"1-2 hours"
"session_000177","user_07281","movie_0836",2024-09-16,"Laptop",10.8,74.1,"paused","4K","USA",FALSE,NA,"6-30 minutes"
"session_000178","user_01637","movie_0205",2024-07-20,"Tablet",92.4,50.7,"completed","HD","USA",FALSE,5,"1-2 hours"
"session_000179","user_03697","movie_0550",2025-01-17,"Mobile",86.3,16.9,"stopped","4K","USA",FALSE,NA,"1-2 hours"
"session_000180","user_00699","movie_0465",2024-12-15,"Tablet",23,98.1,"stopped","SD","USA",TRUE,NA,"6-30 minutes"
"session_000181","user_04738","movie_0151",2024-11-11,"Desktop",62.2,17.1,"paused","4K","USA",TRUE,NA,"1-2 hours"
"session_000182","user_00855","movie_0029",2025-08-18,"Mobile",92.9,4.2,"paused","4K","Canada",TRUE,5,"1-2 hours"
"session_000183","user_08165","movie_0496",2025-02-20,"Tablet",52.5,34.9,"stopped","4K","USA",FALSE,NA,"31-60 minutes"
"session_000184","user_05856","movie_0057",2025-02-09,"Tablet",17.2,30.1,"paused","HD","USA",TRUE,NA,"6-30 minutes"
"session_000185","user_07393","movie_0825",2025-04-13,"Desktop",73.9,21.2,"paused","HD","USA",FALSE,NA,"1-2 hours"
"session_000186","user_06529","movie_0201",2025-03-27,"Mobile",31.9,83.5,"started","HD","USA",FALSE,NA,"31-60 minutes"
"session_000187","user_05250","movie_0783",2024-04-21,"Desktop",28.1,18.7,"stopped","HD","USA",FALSE,NA,"6-30 minutes"
"session_000188","user_05173","movie_0834",2025-04-09,"Smart TV",112.5,43.2,"completed","4K","USA",TRUE,4,"1-2 hours"
"session_000189","user_01708","movie_0221",2024-03-05,"Desktop",61.3,29.8,"completed","SD","USA",FALSE,NA,"1-2 hours"
"session_000190","user_05792","movie_0354",2024-08-03,"Tablet",63.2,5,"started","4K","Canada",FALSE,NA,"1-2 hours"
"session_000191","user_09926","movie_0849",2024-12-02,"Desktop",132.1,28.4,"paused","4K","Canada",FALSE,NA,"2-4 hours"
"session_000192","user_05536","movie_0590",2025-10-30,"Desktop",27.5,58.1,"paused","4K","USA",FALSE,4,"6-30 minutes"
"session_000193","user_04932","movie_0719",2024-01-07,"Desktop",55.5,61,"started","4K","Canada",TRUE,NA,"31-60 minutes"
"session_000194","user_03511","movie_0602",2024-12-07,"Desktop",28,32.9,"completed","4K","Canada",FALSE,NA,"6-30 minutes"
"session_000195","user_00203","movie_0738",2025-06-08,"Smart TV",42.7,34,"stopped","4K","USA",TRUE,NA,"31-60 minutes"
"session_000196","user_04219","movie_0963",2025-10-12,"Smart TV",170.3,66.8,"completed","4K","USA",FALSE,NA,"2-4 hours"
"session_000197","user_08959","movie_0914",2025-10-16,"Tablet",51.2,61.7,"stopped","SD","Canada",FALSE,NA,"31-60 minutes"
"session_000198","user_04390","movie_0485",2024-12-11,"Laptop",41.1,78.8,"completed","HD","Canada",FALSE,NA,"31-60 minutes"
"session_000199","user_02328","movie_0996",2024-08-05,"Smart TV",50.8,83.8,"completed","HD","USA",FALSE,NA,"31-60 minutes"
"session_000200","user_08005","movie_0829",2024-06-22,"Tablet",38.1,70.4,"started","4K","USA",FALSE,NA,"31-60 minutes"
"session_000201","user_02932","movie_0807",2025-12-09,"Laptop",16.9,88,"completed","SD","USA",FALSE,NA,"6-30 minutes"
"session_000202","user_07778","movie_0775",2024-09-30,"Tablet",149.8,59.2,"paused","HD","USA",FALSE,NA,"2-4 hours"
"session_000203","user_00198","movie_0087",2025-05-06,"Mobile",55,74.3,"started","HD","USA",TRUE,NA,"31-60 minutes"
"session_000204","user_07126","movie_0101",2025-01-20,"Desktop",133.9,56.8,"paused","4K","USA",FALSE,5,"2-4 hours"
"session_000205","user_01931","movie_0380",2025-09-26,"Smart TV",7.9,30.1,"paused","SD","USA",FALSE,NA,"6-30 minutes"
"session_000206","user_06288","movie_0794",2024-05-10,"Laptop",34.7,15.8,"paused","HD","USA",TRUE,NA,"31-60 minutes"
"session_000207","user_08801","movie_0116",2024-12-22,"Tablet",14.9,90.6,"paused","HD","USA",FALSE,NA,"6-30 minutes"
"session_000208","user_09340","movie_0847",2025-09-17,"Smart TV",86.9,85.4,"started","4K","USA",TRUE,NA,"1-2 hours"
"session_000209","user_04283","movie_0408",2024-07-10,"Mobile",145.7,54.4,"paused","HD","Canada",FALSE,NA,"2-4 hours"
"session_000210","user_02512","movie_0212",2025-04-08,"Tablet",68.3,1.5,"paused","HD","USA",TRUE,NA,"1-2 hours"
"session_000211","user_09987","movie_0421",2025-01-06,"Desktop",22.5,0.7,"started","HD","USA",FALSE,NA,"6-30 minutes"
