"movie_id","title","content_type","genre_primary","genre_secondary","release_year","duration_minutes","rating","language","country_of_origin","imdb_rating","production_budget","box_office_revenue","number_of_seasons","number_of_episodes","is_netflix_original","added_to_platform","content_warning","budget_missing","revenue_missing"
"movie_0043","city queen","Documentary","Family","",2005,80,"PG-13","Spanish","USA",6.3,0,0,1,12,FALSE,2022-12-12,FALSE,1,1
"movie_0044","dragon city","Stand-up Comedy","War","Documentary",1998,379,"TV-G","English","USA",5.2,0,0,1,12,FALSE,2023-01-31,FALSE,1,1
"movie_0045","battle day","Documentary","History","",2003,92,"PG","English","USA",5.4,0,0,1,12,TRUE,2025-02-18,FALSE,1,1
"movie_0046","the dragon","TV Series","Family","",2002,43,"PG-13","English","USA",6.7,0,0,8,113,FALSE,2023-08-15,FALSE,1,1
"movie_0047","day journey","TV Series","Thriller","",2008,47,"PG","English","Japan",5.4,0,0,9,54,FALSE,2020-12-15,FALSE,1,1
"movie_0048","secret legend","Movie","Family","",1994,102,"TV-14","Hindi","UK",4.6,19244906.2,99312954.4,0,0,FALSE,2024-08-30,FALSE,0,0
"movie_0049","kingdom day","Movie","Thriller","",2023,111,"NC-17","English","Germany",4.6,629194,2736647,0,0,FALSE,2024-03-03,FALSE,0,0
"movie_0050","last quest","TV Series","Biography","",2015,41,"TV-PG","French","USA",6.1,0,0,8,116,FALSE,2023-08-10,FALSE,1,1
"movie_0051","hero mystery","TV Series","Western","Comedy",1995,52,"TV-PG","English","USA",8,0,0,12,178,FALSE,2023-09-10,FALSE,1,1
"movie_0052","hero journey","Movie","Sport","Biography",2002,104,"PG-13","Italian","USA",4.9,6117844,16638609,0,0,TRUE,2022-11-01,FALSE,0,0
"movie_0053","princess city","Documentary","History","",2018,90,"TV-Y7","English","Canada",4.7,0,0,1,12,FALSE,2022-02-28,FALSE,1,1
"movie_0054","phoenix journey","TV Series","Romance","History",2021,35,"TV-MA","English","France",8.8,0,0,1,78,FALSE,2024-11-17,FALSE,1,1
"movie_0055","queen quest","Movie","Sci-Fi","",2002,84,"G","Italian","India",4.7,6494786,0,0,0,TRUE,2023-11-21,TRUE,0,0
"movie_0056","big princess","Movie","Adventure","Comedy",1997,137,"TV-Y","English","USA",6.2,3593765,2259750,0,0,TRUE,2021-01-18,FALSE,0,0
"movie_0057","mission dream","Movie","Biography","",2017,82,"TV-14","Spanish","USA",5.9,4186498,7674756,0,0,TRUE,2021-10-30,FALSE,0,0
"movie_0058","day mystery","Stand-up Comedy","Drama","",2020,57,"R","English","USA",6.6,0,0,1,12,TRUE,2022-10-16,FALSE,1,1
"movie_0059","night secret","TV Series","Romance","Sci-Fi",1992,489.600000000001,"TV-14","French","USA",6.3,0,0,4,42,TRUE,2020-08-24,FALSE,1,1
"movie_0060","night warrior","TV Series","Biography","",1993,44,"PG-13","English","USA",4.9,0,0,10,46,FALSE,2024-08-08,FALSE,1,1
"movie_0061","journey night","Movie","Drama","",2017,100,"TV-MA","English","UK",6.9,11264097,0,0,0,FALSE,2021-11-25,FALSE,0,0
"movie_0062","phoenix mission","Movie","Action","",2012,129,"TV-Y","English","USA",4.4,4494260,53848956,0,0,FALSE,2022-08-16,FALSE,0,0
"movie_0063","hero kingdom","Movie","Adventure","",1997,165,"G","Hindi","UK",6.9,1360448,656952,0,0,FALSE,2021-04-22,FALSE,0,0
"movie_0064","last city","Documentary","Animation","Crime",1994,115,"TV-PG","Japanese","South Korea",5.8,0,0,1,12,FALSE,2021-07-03,FALSE,1,1
"movie_0065","day queen","Movie","Sport","",1991,109,"TV-14","Italian","USA",6.5,11397312,32147534,0,0,TRUE,2024-11-16,FALSE,0,0
"movie_0066","adventure king","Movie","Comedy","Romance",2013,104,"TV-14","English","Canada",7.9,4687811,26772080,0,0,FALSE,2022-06-24,FALSE,0,0
"movie_0067","story mystery","TV Series","Crime","",2005,50,"PG","English","USA",6.8,0,0,2,73,FALSE,2023-05-21,FALSE,1,1
"movie_0068","secret night","TV Series","Horror","",1994,46,"R","English","USA",7.5,0,0,5,44,FALSE,2021-10-22,FALSE,1,1
"movie_0069","an quest","TV Series","Documentary","",2020,42,"NC-17","Spanish","South Korea",8.1,0,0,9,6,FALSE,2024-02-13,FALSE,1,1
"movie_0070","battle city","Documentary","Biography","",2023,81,"R","Hindi","France",6.5,0,0,1,12,FALSE,2022-12-31,TRUE,1,1
"movie_0071","phoenix ice","TV Series","Music","Sci-Fi",2016,70,"TV-MA","English","Canada",6.7,0,0,3,79,TRUE,2024-06-17,FALSE,1,1
"movie_0072","storm warrior","Limited Series","Sci-Fi","Drama",2015,73,"TV-14","French","South Korea",5.1,0,0,14,75,FALSE,2021-06-09,FALSE,1,1
"movie_0073","house family","TV Series","Action","",2021,42,"TV-PG","German","Canada",4.8,0,0,5,121,TRUE,2023-03-24,FALSE,1,1
"movie_0074","dark ice","Movie","Comedy","",2005,150,"PG","English","Canada",0.5,1915176,3628760,0,0,TRUE,2021-11-07,FALSE,0,0
"movie_0075","war hero","TV Series","Animation","Crime",2016,18,"TV-PG","English","USA",6.5,0,0,1,177,FALSE,2023-04-21,TRUE,1,1
"movie_0076","empire battle","Movie","Family","Documentary",2023,108,"G","English","USA",6.8,19244906.2,4643156,0,0,TRUE,2023-05-30,FALSE,0,0
"movie_0077","our battle","TV Series","War","History",2018,26,"TV-14","English","USA",6.4,0,0,5,95,TRUE,2024-12-03,FALSE,1,1
"movie_0078","little war","Movie","Fantasy","Mystery",1999,143,"NC-17","Hindi","USA",6.5,1035450,0,0,0,FALSE,2022-03-30,FALSE,0,0
"movie_0079","mission dream","Movie","War","",2005,414,"TV-G","Hindi","USA",5.9,4204348,24367896,0,0,FALSE,2021-02-07,FALSE,0,0
"movie_0080","day queen","Movie","Documentary","Documentary",2014,89,"TV-Y","English","USA",7.8,5453306,32981493,0,0,FALSE,2022-12-26,FALSE,0,0
"movie_0081","mission fire","Movie","Documentary","",2023,119,"TV-14","Italian","Japan",7.8,19244906.2,5603722,0,0,FALSE,2021-06-05,FALSE,0,0
"movie_0082","bright phoenix","Movie","Western","",1995,408,"TV-MA","German","South Korea",4.6,8461755,99312954.4,0,0,TRUE,2021-04-14,FALSE,0,0
"movie_0083","journey phoenix","Movie","Sci-Fi","",2024,101,"TV-Y","English","USA",7,97100,69320180,0,0,TRUE,2020-08-14,TRUE,0,0
"movie_0084","night phoenix","Movie","Documentary","Crime",1998,114,"PG","English","Germany",6.8,0,39250966,0,0,TRUE,2023-09-08,TRUE,1,1
"movie_0085","mission secret","Stand-up Comedy","Crime","Crime",2009,44,"TV-Y","Korean","USA",5.7,0,0,1,12,FALSE,2024-05-03,TRUE,1,1
"movie_0086","big adventure","Documentary","Biography","Family",1998,68,"G","English","UK",0.6,0,0,1,12,TRUE,2024-07-11,FALSE,1,1
"movie_0087","our storm","Movie","Comedy","",2010,38,"PG-13","Italian","USA",6.6,0,0,0,0,FALSE,2021-02-22,TRUE,1,1
"movie_0088","journey love","TV Series","Sport","",1990,63,"PG-13","English","Canada",7.2,0,0,4,79,FALSE,2023-03-02,FALSE,1,1
"movie_0089","mystery day","Movie","Romance","",2014,79,"TV-Y7","Hindi","Japan",0.9,19244906.2,16348642,0,0,TRUE,2021-06-07,TRUE,0,0
"movie_0090","ice kingdom","Documentary","Animation","Biography",2003,107,"TV-PG","English","USA",8.7,0,0,1,12,FALSE,2021-12-24,TRUE,1,1
"movie_0091","dragon ice","Documentary","Horror","",1993,79,"PG-13","English","Japan",4.7,0,0,1,12,TRUE,2022-11-24,FALSE,1,1
"movie_0092","story kingdom","TV Series","War","",1991,35,"PG","English","UK",8.8,0,0,14,62,FALSE,2024-04-23,FALSE,1,1
"movie_0093","city queen","Movie","History","Biography",2020,101,"R","English","USA",9.7,0,41795066,0,0,TRUE,2024-03-31,FALSE,1,1
"movie_0094","dark city","Stand-up Comedy","Western","Western",1993,68,"TV-Y7","English","USA",5.3,0,0,1,12,FALSE,2021-08-03,FALSE,1,1
"movie_0095","legend storm","TV Series","Fantasy","",2003,32,"TV-MA","English","USA",3.6,0,0,9,76,TRUE,2025-05-06,FALSE,1,1
"movie_0096","king fire","Movie","Action","",2018,105,"G","English","UK",4.5,8939550,4931077,0,0,FALSE,2024-06-22,TRUE,0,0
"movie_0097","secret war","Movie","Fantasy","",2001,102,"TV-Y","Hindi","Canada",3.1,2137471,36710118,0,0,FALSE,2021-05-15,FALSE,0,0
"movie_0098","a war","Stand-up Comedy","Adventure","",2001,77,"PG-13","English","USA",6.4,0,0,1,12,TRUE,2022-07-27,FALSE,1,1
"movie_0099","dragon day","Documentary","Western","",2021,110,"PG","English","UK",8.3,0,0,1,12,FALSE,2021-07-06,TRUE,1,1
"movie_0100","adventure dream","Movie","Fantasy","",1996,99,"TV-G","English","Canada",6,8590064,0,0,0,FALSE,2024-07-30,FALSE,0,0
"movie_0101","king house","TV Series","Animation","",2008,45,"TV-MA","English","South Korea",6.9,0,0,3,96,FALSE,2025-07-19,FALSE,1,1
"movie_0102","fire war","TV Series","Comedy","Sci-Fi",2003,32,"TV-14","Italian","South Korea",5.1,0,0,6,74,FALSE,2023-08-17,TRUE,1,1
"movie_0103","family battle","Stand-up Comedy","Sci-Fi","Action",2017,52,"NC-17","Italian","France",8.2,0,0,1,12,FALSE,2024-04-16,FALSE,1,1
"movie_0104","mystery mystery","Movie","War","Fantasy",2001,107,"TV-Y","English","South Korea",4.6,0,13208249,0,0,FALSE,2024-11-24,FALSE,1,1
"movie_0105","adventure house","Movie","Animation","Adventure",1992,109,"TV-MA","Korean","USA",6.3,1354517,3059547,0,0,TRUE,2023-09-28,FALSE,0,0
"movie_0106","dragon night","Documentary","Animation","Family",1991,89,"NC-17","Spanish","South Korea",7.3,0,0,1,12,FALSE,2020-08-25,TRUE,1,1
"movie_0107","love kingdom","Documentary","Biography","",2014,87,"TV-MA","English","UK",6.1,0,0,1,12,FALSE,2023-03-02,TRUE,1,1
"movie_0108","first phoenix","Movie","Fantasy","",2000,128,"TV-G","Italian","USA",7.8,747506,99312954.4,0,0,FALSE,2021-03-14,TRUE,0,0
"movie_0109","family story","Movie","War","",2023,119,"PG-13","English","USA",6.5,2792744,99312954.4,0,0,FALSE,2022-12-24,FALSE,0,0
"movie_0110","queen day","Movie","Comedy","Adventure",1998,122,"NC-17","English","USA",5.5,3551286,0,0,0,TRUE,2022-06-03,FALSE,0,0
"movie_0111","kingdom mission","Movie","Sport","",1995,106,"TV-Y7","English","USA",5.1,770163,3222643,0,0,FALSE,2021-03-12,TRUE,0,0
"movie_0112","king princess","TV Series","Music","Biography",1991,69,"R","English","USA",6.6,0,0,2,103,TRUE,2022-01-22,FALSE,1,1
"movie_0113","a quest","Movie","History","",2022,110,"PG-13","French","Germany",5.9,845349,4568753,0,0,FALSE,2020-12-09,TRUE,0,0
"movie_0114","journey king","TV Series","Animation","Mystery",2008,46,"TV-PG","English","India",9.7,0,0,9,48,FALSE,2022-10-24,FALSE,1,1
"movie_0115","war dragon","Movie","Crime","",2021,69,"NC-17","English","USA",6,18860431,57338013,0,0,TRUE,2021-04-09,FALSE,0,0
"movie_0116","secret story","Documentary","Biography","Documentary",1990,134,"TV-14","French","France",4.7,0,0,1,12,FALSE,2024-02-27,TRUE,1,1
"movie_0117","little dragon","Movie","Family","",2013,109,"R","English","USA",5.2,794995,24268353,0,0,TRUE,2022-04-27,TRUE,0,0
"movie_0118","hero love","Documentary","Sport","",2014,96,"TV-14","English","USA",4.6,0,0,1,12,FALSE,2021-07-14,FALSE,1,1
"movie_0119","little warrior","Documentary","Action","Adventure",2019,98,"G","Hindi","South Korea",8.5,0,0,1,12,FALSE,2025-07-26,TRUE,1,1
"movie_0120","last mission","Movie","Mystery","Comedy",2022,152,"TV-Y","English","USA",5.2,0,22144747,0,0,FALSE,2024-04-21,FALSE,1,1
"movie_0121","last dream","Movie","Mystery","",2004,113,"G","English","USA",6.1,1666756,0,0,0,FALSE,2022-09-09,FALSE,0,0
"movie_0122","little queen","Movie","History","",2019,125,"TV-MA","English","USA",3.9,9321651,5551808,0,0,FALSE,2024-08-01,FALSE,0,0
"movie_0123","family fire","Movie","Documentary","History",2008,109,"R","English","USA",4.5,556402,8920240,0,0,TRUE,2023-04-03,FALSE,0,0
"movie_0124","bright house","TV Series","Comedy","",2003,38,"TV-Y","English","USA",6.6,0,0,12,14,TRUE,2024-01-14,FALSE,1,1
"movie_0125","our queen","Movie","Western","Music",2010,105,"PG","English","Canada",5,16341730,39189864,0,0,TRUE,2022-01-10,FALSE,0,0
"movie_0126","journey princess","Movie","Sci-Fi","Biography",2003,125,"TV-MA","Spanish","USA",7.4,19244906.2,5582578,0,0,FALSE,2022-12-29,FALSE,0,0
"movie_0127","dragon quest","Documentary","Music","Drama",2016,85,"PG","English","USA",4.4,0,0,1,12,FALSE,2024-12-22,FALSE,1,1
"movie_0128","a quest","Limited Series","History","",2008,58,"NC-17","English","Canada",4.9,0,0,2,153,FALSE,2022-03-29,FALSE,1,1
"movie_0129","mission fire","Stand-up Comedy","Sci-Fi","Crime",2000,36,"TV-Y7","English","USA",0.5,0,0,1,12,TRUE,2023-10-10,FALSE,1,1
"movie_0130","last house","Movie","Action","",1990,36,"NC-17","English","Japan",6.4,10949397,45443003,0,0,FALSE,2020-11-19,FALSE,0,0
"movie_0131","story mystery","Movie","Sci-Fi","",2024,115,"TV-Y7","English","USA",6.4,19244906.2,4303498,0,0,TRUE,2025-04-25,FALSE,0,0
"movie_0132","dragon war","Documentary","Comedy","",2022,95,"TV-PG","Spanish","Japan",7.7,0,0,1,12,FALSE,2021-01-12,FALSE,1,1
"movie_0133","adventure princess","Movie","Family","",1993,97,"R","English","USA",7.8,9889659,36933865,0,0,FALSE,2021-12-12,FALSE,0,0
"movie_0134","story night","Stand-up Comedy","Adventure","Animation",1999,52,"PG","Spanish","France",7.3,0,0,1,12,FALSE,2023-08-24,FALSE,1,1
"movie_0135","princess house","Movie","Western","",2016,73,"TV-G","Japanese","USA",5.3,0,99312954.4,0,0,FALSE,2023-08-10,FALSE,1,1
"movie_0136","first house","Documentary","Adventure","",2001,404,"NC-17","English","Canada",1,0,0,1,12,FALSE,2023-05-25,FALSE,1,1
"movie_0137","first mission","Movie","History","",2023,106,"TV-Y7","English","USA",7.6,992285,84883879,0,0,FALSE,2020-12-26,FALSE,0,0
"movie_0138","kingdom fire","Movie","Biography","Comedy",2024,118,"PG","English","Canada",5.6,2785266,20178073,0,0,FALSE,2023-05-29,FALSE,0,0
"movie_0139","last war","Limited Series","Mystery","",1993,23,"TV-G","English","USA",4.4,0,0,2,102,FALSE,2024-05-05,FALSE,1,1
"movie_0140","city empire","Documentary","Sport","",2023,19,"TV-14","English","France",5.6,0,0,1,12,FALSE,2025-06-20,FALSE,1,1
"movie_0141","war story","Movie","Action","Crime",1990,96,"PG","Korean","Japan",3.9,0,351613,0,0,FALSE,2024-10-30,TRUE,1,1
"movie_0142","battle secret","Limited Series","Western","",2018,71,"TV-Y7","English","UK",5.1,0,0,14,169,FALSE,2021-02-26,TRUE,1,1
"movie_0143","adventure fire","Movie","Biography","",2006,143,"NC-17","German","Germany",5,792013,5298432,0,0,TRUE,2022-12-28,FALSE,0,0
"movie_0144","our dream","TV Series","Comedy","",2013,37,"TV-14","Korean","India",9.4,0,0,11,42,TRUE,2020-12-07,FALSE,1,1
"movie_0145","fire empire","TV Series","Thriller","Sci-Fi",1990,40,"G","English","UK",8.4,0,0,10,196.96,TRUE,2024-03-09,FALSE,1,1
"movie_0146","bright love","Movie","War","",2014,79,"PG-13","English","USA",4.4,0,0,0,0,FALSE,2024-11-22,FALSE,1,1
"movie_0147","dark love","Documentary","Action","",1996,34,"G","Japanese","UK",3.9,0,0,1,12,FALSE,2023-02-11,FALSE,1,1
"movie_0148","war storm","TV Series","Mystery","",1997,66,"TV-Y7","Spanish","USA",8.9,0,0,1,101,TRUE,2022-07-29,FALSE,1,1
"movie_0149","the fire","Documentary","Action","",2000,364,"TV-PG","Spanish","USA",3,0,0,1,12,FALSE,2023-09-12,FALSE,1,1
"movie_0150","story fire","Movie","Adventure","Sport",2013,157,"TV-14","English","Japan",8.1,19244906.2,26250908,0,0,FALSE,2022-12-26,TRUE,0,0
"movie_0151","night love","Movie","Animation","",2005,98,"TV-Y","English","South Korea",6.2,5071451,235899,0,0,FALSE,2022-12-11,FALSE,0,0
"movie_0152","fire quest","Movie","Documentary","Sport",1991,104,"TV-MA","Hindi","USA",3.6,0,0,0,0,FALSE,2020-10-13,FALSE,1,1
"movie_0153","phoenix dragon","Movie","Animation","",2007,148,"NC-17","Spanish","USA",7.8,1445488,0,0,0,TRUE,2024-01-30,FALSE,0,0
"movie_0154","bright phoenix","TV Series","Sci-Fi","",1998,19,"TV-Y","Italian","UK",5,0,0,14,187,TRUE,2024-01-15,FALSE,1,1
"movie_0155","dream battle","Movie","Romance","",2005,140,"TV-Y7","English","USA",6.5,0,10889136,0,0,FALSE,2025-07-01,FALSE,1,1
"movie_0156","an ice","Movie","History","Thriller",2019,111,"TV-14","English","France",6,19244906.2,10427828,0,0,TRUE,2023-07-16,FALSE,0,0
"movie_0157","last ice","Documentary","Sport","",2001,77,"R","German","USA",10,0,0,1,12,FALSE,2022-02-15,FALSE,1,1
"movie_0158","storm princess","Documentary","War","",2019,110,"R","English","USA",5.1,0,0,1,12,FALSE,2022-02-27,TRUE,1,1
"movie_0159","battle family","Movie","Drama","Mystery",2001,121,"NC-17","Korean","India",7.7,6129856,6244192,0,0,FALSE,2023-01-23,FALSE,0,0
"movie_0160","love journey","Movie","Comedy","",2016,10,"R","Italian","Canada",6.6,9355608,99312954.4,0,0,FALSE,2023-08-19,FALSE,0,0
"movie_0161","our king","Movie","Western","",1993,97,"TV-Y","English","Germany",6.5,3405303,894261,0,0,FALSE,2021-02-20,FALSE,0,0
"movie_0162","day fire","TV Series","Animation","Sci-Fi",2005,40,"TV-PG","Spanish","South Korea",5.8,0,0,5,111,FALSE,2021-08-23,FALSE,1,1
"movie_0163","bright war","Movie","Comedy","",2015,85,"TV-PG","English","USA",5.7,503735,58761541,0,0,FALSE,2021-01-10,TRUE,0,0
"movie_0164","quest ice","Movie","Romance","Western",1995,111,"TV-14","English","USA",6.6,2398917,35707634,0,0,FALSE,2021-01-13,FALSE,0,0
"movie_0165","bright day","Movie","Action","Sci-Fi",2018,91,"G","English","Germany",7.6,456624,82210,0,0,FALSE,2023-11-21,FALSE,0,0
"movie_0166","mystery princess","TV Series","Western","",2012,66,"TV-G","English","USA",3.3,0,0,10,54,TRUE,2024-02-03,FALSE,1,1
"movie_0167","battle night","TV Series","Adventure","",2010,37,"TV-MA","Italian","USA",6.6,0,0,9,178,FALSE,2021-06-26,FALSE,1,1
"movie_0168","love love","Movie","Crime","Mystery",1997,103,"G","English","USA",6.9,5781768,0,0,0,TRUE,2023-02-13,FALSE,0,0
"movie_0169","storm day","TV Series","Western","",1998,53,"TV-PG","English","Canada",6.9,0,0,13,81,FALSE,2025-01-20,FALSE,1,1
"movie_0170","phoenix love","Movie","Horror","",1997,489.600000000001,"R","English","South Korea",6.1,431570,6675003,0,0,FALSE,2024-03-10,TRUE,0,0
"movie_0171","dream warrior","Movie","Biography","",1994,110,"TV-14","English","USA",1.4,3768477,11316045,0,0,FALSE,2021-05-21,FALSE,0,0
"movie_0172","my story","Movie","Horror","",1993,94,"TV-Y","Spanish","USA",10,5064920,11553135,0,0,FALSE,2023-09-10,FALSE,0,0
"movie_0173","little dragon","Stand-up Comedy","Sci-Fi","History",2002,58,"TV-Y","Hindi","Canada",7.2,0,0,1,12,TRUE,2022-02-04,FALSE,1,1
"movie_0174","city battle","TV Series","Thriller","",2020,50,"TV-Y7","Spanish","France",5.1,0,0,7,78,FALSE,2023-11-06,FALSE,1,1
"movie_0175","fire day","Movie","Fantasy","",2002,137,"TV-G","German","USA",8.9,365831,0,0,0,TRUE,2023-07-13,FALSE,0,0
"movie_0176","dream city","TV Series","Documentary","",2008,39,"TV-Y7","French","USA",4.4,0,0,10,116,TRUE,2022-09-02,FALSE,1,1
"movie_0177","fire princess","Movie","Drama","",2022,99,"PG","Italian","USA",9.1,19244906.2,5829409,0,0,TRUE,2024-09-21,FALSE,0,0
"movie_0178","our princess","TV Series","Animation","",2002,55,"G","English","South Korea",5.6,0,0,1,6,FALSE,2023-11-30,FALSE,1,1
"movie_0179","battle empire","TV Series","Documentary","",2014,41,"TV-PG","Spanish","UK",0.8,0,0,6,20,TRUE,2023-03-30,FALSE,1,1
"movie_0180","story queen","TV Series","Action","",2010,26,"G","English","USA",6.5,0,0,1,159,FALSE,2020-11-18,FALSE,1,1
"movie_0181","phoenix hero","TV Series","Crime","",2020,43,"G","English","UK",7.4,0,0,4,134,FALSE,2023-09-22,FALSE,1,1
"movie_0182","mystery adventure","Movie","Thriller","",1990,125,"TV-14","English","USA",5.7,5738797,1406285,0,0,FALSE,2024-10-09,FALSE,0,0
"movie_0183","house phoenix","TV Series","Music","Romance",1999,42,"G","English","USA",6.5,0,0,14,85,TRUE,2024-05-04,FALSE,1,1
"movie_0184","legend house","Documentary","Documentary","",2000,84,"PG-13","English","USA",7.3,0,0,1,12,TRUE,2021-06-26,FALSE,1,1
